tokens,unique,type_token,hit_pct,corpus_mb,variant,prep_ms,lookup_ms,best_ms,speedup,mwords_per_s,ns_per_token
8000000,589637,0.0737,85.5,95.2,2b gpu-full,21.727,3.318,3.316,1.3,2411.0,0.415
8000000,589637,0.0737,85.5,95.2,3 gpu-prefix,1.59,2.697,2.681,1.6,2966.2,0.337
8000000,589637,0.0737,85.5,95.2,4 gpu-partition,2.991,2.557,2.547,1.69,3128.5,0.32
8000000,589637,0.0737,85.5,95.2,6 sort+compact,8.211,0.764,0.762,5.65,10475.3,0.096
8000000,589637,0.0737,85.5,95.2,6b sort-2B+compact,5.651,1.117,1.115,3.86,7164.4,0.14
10000000,688368,0.0688,85.42,119.0,0 baseline,0.0,5.391,5.374,1.0,1855.0,0.539
10000000,688368,0.0688,85.42,119.0,2 gpu-sort-8B,3.597,4.285,4.277,1.26,2333.9,0.428
10000000,688368,0.0688,85.42,119.0,2b gpu-full,27.232,4.48,4.463,1.2,2232.3,0.448
10000000,688368,0.0688,85.42,119.0,3 gpu-prefix,2.022,3.626,3.615,1.49,2757.9,0.363
10000000,688368,0.0688,85.42,119.0,4 gpu-partition,3.729,3.291,3.279,1.64,3039.0,0.329
10000000,688368,0.0688,85.42,119.0,6 sort+compact,10.413,1.158,1.157,4.66,8638.8,0.116
10000000,688368,0.0688,85.42,119.0,6b sort-2B+compact,6.729,1.473,1.471,3.66,6787.3,0.147
