tokens,unique,type_token,hit_pct,corpus_mb,variant,prep_ms,lookup_ms,best_ms,speedup,mwords_per_s,ns_per_token
8000000,589637,0.0737,85.5,95.2,2b gpu-full,22.728,3.319,3.318,1.3,2410.1,0.415
8000000,589637,0.0737,85.5,95.2,3 gpu-prefix,3.234,2.693,2.682,1.6,2971.0,0.337
8000000,589637,0.0737,85.5,95.2,4 gpu-partition,3.155,2.554,2.552,1.69,3131.8,0.319
8000000,589637,0.0737,85.5,95.2,6 sort+compact,9.608,0.764,0.763,5.65,10475.3,0.096
8000000,589637,0.0737,85.5,95.2,6b sort-2B+compact,5.772,1.117,1.117,3.86,7160.9,0.14
10000000,688368,0.0688,85.42,119.0,0 baseline,0.0,5.393,5.386,1.0,1854.2,0.539
10000000,688368,0.0688,85.42,119.0,2 gpu-sort-8B,3.673,4.334,4.278,1.24,2307.2,0.433
10000000,688368,0.0688,85.42,119.0,2b gpu-full,27.945,4.478,4.463,1.2,2233.1,0.448
10000000,688368,0.0688,85.42,119.0,3 gpu-prefix,2.047,3.627,3.62,1.49,2757.4,0.363
10000000,688368,0.0688,85.42,119.0,4 gpu-partition,3.942,3.425,3.285,1.57,2919.3,0.343
10000000,688368,0.0688,85.42,119.0,6 sort+compact,10.572,1.158,1.157,4.66,8637.6,0.116
10000000,688368,0.0688,85.42,119.0,6b sort-2B+compact,6.843,1.474,1.473,3.66,6782.7,0.147
